,company name,rating,location,rating_value,reviews,salaries,interviews,jobs,benefits,photos
0,Infiniti Research,(535),Analytics & KPO | Bengaluru +8 other locations,"Company Culture, Work Satisfaction, Job Security",535,1.7k,38,10,68,2
1,Castrol,(536),Petrochemicals | Mumbai +122 other locations,"Company Culture, Work Life Balance, Salary",536,2k,26,81,49,--
2,Systra Consulting,(535),Engineering & Construction | New Delhi +39 other locations,"Work Life Balance, Company Culture",535,1.6k,37,152,58,--
3,Chemplast Sanmar,(535),Chemicals | Salem +20 other locations,"Company Culture, Promotions, Salary",535,2.4k,47,9,32,9
4,Suprajit Engineering,(535),Auto Components | Bengaluru +39 other locations,"Job Security, Work Life Balance",535,2.4k,41,16,54,1
5,Pitti Engineering,(536),Industrial Machinery | Hyderabad +14 other locations,"Promotions, Company Culture, Job Security",536,2.1k,29,1,50,--
6,National Australia Bank,(536),Banking | Gurugram +9 other locations,"Promotions, Work Satisfaction, Skill Development",536,4.2k,58,6,8,11
7,Mobikwik,(534),FinTech | Gurugram +51 other locations,"Promotions, Company Culture, Work Satisfaction",534,2.6k,65,44,27,5
8,CompuCom,(535),IT Services & Consulting | Pune +7 other locations,Work Life Balance,535,3.1k,37,5,60,15
9,Satyam Auto Components,(534),Auto Components | Gurugram +28 other locations,Job Security,534,2.3k,40,3,40,5
10,Voya India,(535),Financial Services | Bengaluru +13 other locations,Work Life Balance,535,3.3k,31,4,7,2
11,V.S.T Tillers Tractors,(535),Industrial Machinery | Bengaluru +55 other locations,"Promotions, Work Satisfaction, Company Culture",535,1.9k,43,5,40,--
12,Dr. Agarwal's Eye Hospital,(534),Healthcare | Chennai +83 other locations,Salary,534,1.7k,38,60,36,--
13,N.C.L. Industries,(534),Building Material | Hyderabad +71 other locations,"Promotions, Salary",534,1.6k,38,5,38,--
14,Vestige,(533),Fitness & Wellness | New Delhi +112 other locations,"Company Culture, Work Life Balance, Work Satisfaction",533,1.4k,40,--,80,3
15,Consero Global Solutions,(533),Financial Services | Bengaluru +10 other locations,"Promotions, Salary, Company Culture",533,2.7k,101,--,24,--
16,RSB Transmissions,(533),Auto Components | Pune +24 other locations,"Work Life Balance, Job Security",533,2.1k,39,--,40,--
17,Tuaman Engineering,(532),Engineering & Construction | Kolkata +38 other locations,"Salary, Work Life Balance, Job Security",532,1.5k,77,--,39,3
18,Wellness Forever Medicare,(532),Retail | Mumbai +42 other locations,Skill Development,532,1.7k,56,4,37,--
19,Uttar Pradesh Power Corporation,(532),Power | Lucknow +88 other locations,"Work Life Balance, Skill Development, Work Satisfaction",532,1.3k,11,--,38,3
